mol,Name,MW,pubnum,pub1,id1,pubname1,value1,error1,dimension1,process,te53p,pH,status1,purity1,conv,final,dimension3,error,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,
ICCC,1-iodopropane,169.99,,"[Chambers, 1996 #1018]",Table S2,,-0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(CCC)C,1-methoxypropane,74.12,,"[Chambers, 1996 #1018]",Table S2,,-1.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CN1CCNCC1,1-methylpiperazine,100.17,,"[Chambers, 1996 #1018]",Table S2,,-7.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)CCCC,1-nitrobutane,103.12,,"[Chambers, 1996 #1018]",Table S2,,-3.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)CCC,1-nitropropane,89.09,,"[Chambers, 1996 #1018]",Table S2,,-3.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OCCCCCCCC,1-octanol,130.23,,"[Chambers, 1996 #1018]",Table S2,,-4.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OCCCCC,1-pentanol,88.15,,"[Chambers, 1996 #1018]",Table S2,,-4.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C=CCCC,1-pentene,70.14,,"[Chambers, 1996 #1018]",Table S2,,1.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C#CCCC,1-pentyne,68.12,,"[Chambers, 1996 #1018]",Table S2,,0,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
SCCC,1-propanethiol,76.16,,"[Chambers, 1996 #1018]",Table S2,,-1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OCCC,1-propanol,60.1,,"[Chambers, 1996 #1018]",Table S2,,-4.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
FC(F)(F)CO,"2,2,2-trifluoroethanol",100.046,,"[Chambers, 1996 #1018]",Table S2,,-4.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
FC(F)(F)COC=C,"2,2,2-trifluoroethyl vinyl ether",126.08,,"[Chambers, 1996 #1018]",Table S2,,-0.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(CC(C)(C)C)C,"2,2,4-trimethylpentane ",114.23,,"[Chambers, 1996 #1018]",Table S2,,2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)(C)C,"2,2-dimethylpropane",72.15,,"[Chambers, 1996 #1018]",Table S2,,2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(CC(C)C)C,"2,4-dimethylpentane ",100.205,,"[Chambers, 1996 #1018]",Table S2,,2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccc(cc1C)C,"2,4-dimethylpyridine",107.16,,"[Chambers, 1996 #1018]",Table S2,,-4.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1cc(ccc1C)C,"2,5-dimethylpyridine",107.16,,"[Chambers, 1996 #1018]",Table S2,,-4.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1c(cccc1C)C,"2,6-dimethylpyridine",107.16,,"[Chambers, 1996 #1018]",Table S2,,-4.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrC(C)C,2-bromopropane,122.99,,"[Chambers, 1996 #1018]",Table S2,,-0.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CC)C,2-butanone,72.11,,"[Chambers, 1996 #1018]",Table S2,,-3.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC(C)C,2-chloropropane,78.54,,"[Chambers, 1996 #1018]",Table S2,,-0.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccncc1CC,2-ethylpyrazine,108.14,,"[Chambers, 1996 #1018]",Table S2,,-5.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCCCC)C,2-heptanone ,114.19,,"[Chambers, 1996 #1018]",Table S2,,-3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCCC)C,2-hexanone,100.16,,"[Chambers, 1996 #1018]",Table S2,,-3.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
IC(C)C,2-iodopropane,169.99,,"[Chambers, 1996 #1018]",Table S2,,-0.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COC(C)(C)C,2-methoxy-2-methylpropane,88.15,,"[Chambers, 1996 #1018]",Table S2,,-2.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COCCO,2-methoxyethanol,76.1,,"[Chambers, 1996 #1018]",Table S2,,-6.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COCCN,2-methoxyethylamine ,75.11,,"[Chambers, 1996 #1018]",Table S2,,-6.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COC(C)C,2-methoxypropane,74.12,,"[Chambers, 1996 #1018]",Table S2,,-2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Cc1c(cccc1)N(=O)=O,2-methyl-1-nitrobenzene,135.125,,"[Chambers, 1996 #1018]",Table S2,,-3.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(C)(C)C,2-methyl-2-propanol,74.124,,"[Chambers, 1996 #1018]",Table S2,,-4.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)CCC,2-methylpentane ,86.18,,"[Chambers, 1996 #1018]",Table S2,,2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1ccccc1C,2-methylphenol,108.14,,"[Chambers, 1996 #1018]",Table S2,,-5.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)C,2-methylpropane ,58.12,,"[Chambers, 1996 #1018]",Table S2,,2.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,0.39
C(C)(C)=C,2-methylpropene,56.11,,"[Chambers, 1996 #1018]",Table S2,,1.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccncc1C,2-methylpyrazine,94.12,,"[Chambers, 1996 #1018]",Table S2,,-5.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccccc1C,2-methylpyridine,93.13,,"[Chambers, 1996 #1018]",Table S2,,-4.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)C(C)C,2-nitropropane,89.09,,"[Chambers, 1996 #1018]",Table S2,,-3.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC(=O)CCCCCC,2-octanone ,128.22,,"[Chambers, 1996 #1018]",Table S2,,-2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCC)C,2-pentanone,86.13,,"[Chambers, 1996 #1018]",Table S2,,-3.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(C)C,2-propanol,60.1,,"[Chambers, 1996 #1018]",Table S2,,-4.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OCC=C,2-propen-1-ol,58.08,,"[Chambers, 1996 #1018]",Table S2,,-5.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(C(C)(C)C)C,"3,3-dimethyl-2-butanone ",100.16,,"[Chambers, 1996 #1018]",Table S2,,-2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClCC=C,3-chloro-1-propene,76.53,,"[Chambers, 1996 #1018]",Table S2,,-0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C=O,3-hydroxybenzaldehyde,122.12,,"[Chambers, 1996 #1018]",Table S2,,-9.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C,3-methylphenol,108.14,,"[Chambers, 1996 #1018]",Table S2,,-5.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1cc(ccc1)C,3-methylpyridine,93.13,,"[Chambers, 1996 #1018]",Table S2,,-4.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CC)CC,3-pentanone,86.13,,"[Chambers, 1996 #1018]",Table S2,,-3.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCC)CCC,4-heptanone,114.19,,"[Chambers, 1996 #1018]",Table S2,,-2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C=O,4-hydroxybenzaldehyde,122.12,,"[Chambers, 1996 #1018]",Table S2,,-10.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CN1CCOCC1,4-methylmorpholine,101.15,,"[Chambers, 1996 #1018]",Table S2,,-6.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C,4-methylphenol,108.14,,"[Chambers, 1996 #1018]",Table S2,,-6.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccc(cc1)C,4-methylpyridine,93.13,,"[Chambers, 1996 #1018]",Table S2,,-4.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCCC)CCCC,5-nonanone,142.24,,"[Chambers, 1996 #1018]",Table S2,,-2.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=CC,acetaldehyde,44.054,,"[Chambers, 1996 #1018]",Table S2,,-3.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(N)C,acetamide,59.07,,"[Chambers, 1996 #1018]",Table S2,,-9.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(=O)C,acetic acid,60.05,,"[Chambers, 1996 #1018]",Table S2,,-6.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(C)C,acetone,58.08,,"[Chambers, 1996 #1018]",Table S2,,-3.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N#CC,acetonitrile,41.05,,"[Chambers, 1996 #1018]",Table S2,,-3.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C(C)c1ccccc1,acetophenone,120.15,,"[Chambers, 1996 #1018]",Table S2,,4.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N,Ammonia,17.03,,"[Chambers, 1996 #1018]",Table S2,,-4.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Nc1ccccc1,aniline,93.13,,"[Chambers, 1996 #1018]",Table S2,,-5.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C)c1ccccc1,anisole,108.14,,"[Chambers, 1996 #1018]",Table S2,,-1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c12c(cc3c(c1)cccc3)cccc2,Anthracene,178.23,,"[Chambers, 1996 #1018]",Table S2,,-4.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N1CCC1,azetidine,57.1,,"[Chambers, 1996 #1018]",Table S2,,-5.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c1(ccccc1)C=O,benzaldehyde,106.12,,"[Chambers, 1996 #1018]",Table S2,,-4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c1ccccc1,benzene,78.11,,"[Chambers, 1996 #1018]",Table S2,,-0.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Sc1ccccc1,benzenethiol,110.18,,"[Chambers, 1996 #1018]",Table S2,,-2.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N#Cc1ccccc1,benzonitrile,103.12,,"[Chambers, 1996 #1018]",Table S2,,-4.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClCCSCCCl,bis-(2-chloroethyl) sulfide,159.08,,"[Chambers, 1996 #1018]",Table S2,,-3.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Brc1ccccc1,bromobenzene,157.01,,"[Chambers, 1996 #1018]",Table S2,,-1.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrCC,bromoethane,108.97,,"[Chambers, 1996 #1018]",Table S2,,-0.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrC,bromomethane,94.94,,"[Chambers, 1996 #1018]",Table S2,,-0.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrC(F)(F)F,bromotrifluoromethane,148.91,,"[Chambers, 1996 #1018]",Table S2,,1.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=CCCC,butanal,72.11,,"[Chambers, 1996 #1018]",Table S2,,-3.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCCC,butane,58.12,,"[Chambers, 1996 #1018]",Table S2,,2.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N#CCCC,Butanenitrile,69.11,,"[Chambers, 1996 #1018]",Table S2,,-3.6,1.93,kcal/mol,DGS,25,,measured,,,,,,,,,,
OC(=O)CCC,Butanoic acid,88.11,,"[Chambers, 1996 #1018]",Table S2,,-6.4,1.93,kcal/mol,DGS,25,,measured,,,,,,,,,,
C=CC#C,butenyne ,56.108,,"[Chambers, 1996 #1018]",Table S2,,0,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)C)CCCC,butyl acetate,116.16,,"[Chambers, 1996 #1018]",Table S2,,-2.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NCCCC,butylamine,73.14,,"[Chambers, 1996 #1018]",Table S2,,-4.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Clc1ccccc1,chlorobenzene,112.56,,"[Chambers, 1996 #1018]",Table S2,,-1.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC(F)F,chlorodifluoromethane,86.47,,"[Chambers, 1996 #1018]",Table S2,,-0.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClCC,chloroethane,64.51,,"[Chambers, 1996 #1018]",Table S2,,-0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC=C,chloroethene,62.5,,"[Chambers, 1996 #1018]",Table S2,,-0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClCF,chlorofluoromethane,68.484,,"[Chambers, 1996 #1018]",Table S2,,-0.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC,chloromethane,50.49,,"[Chambers, 1996 #1018]",Table S2,,-0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Cl[C@H]1CCCC[C@H]1Cl,"cis-1,2-dimethylcyclohexane",153.05,,"[Chambers, 1996 #1018]",Table S2,,1.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C1CCCCC1,cyclohexane ,84.16,,"[Chambers, 1996 #1018]",Table S2,,1.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C1CCCC1,cyclopentane ,70.14,,"[Chambers, 1996 #1018]",Table S2,,1.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC1CCCC1,cyclopentanol,86.13,,"[Chambers, 1996 #1018]",Table S2,,-5.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=C1CCCC1,cyclopentanone,84.12,,"[Chambers, 1996 #1018]",Table S2,,-4.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C1CC=CC1,cyclopentene,68.12,,"[Chambers, 1996 #1018]",Table S2,,0.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C1CC1,cyclopropane ,42.08,,"[Chambers, 1996 #1018]",Table S2,,0.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrCBr,dibromomethane,173.83,,"[Chambers, 1996 #1018]",Table S2,,-2.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClCCl,dichloromethane,84.93,,"[Chambers, 1996 #1018]",Table S2,,-1.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
S(SCC)CC,diethyl disulfide,122.26,,"[Chambers, 1996 #1018]",Table S2,,-1.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(CC)CC,diethyl ether,74.12,,"[Chambers, 1996 #1018]",Table S2,,-1.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
S(CC)CC,diethyl sulfide,90.19,,"[Chambers, 1996 #1018]",Table S2,,-1.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(CC)CC,diethylamine,73.14,,"[Chambers, 1996 #1018]",Table S2,,-4.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
[H][H],dihydrogen,2.016,,"[Chambers, 1996 #1018]",Table S2,,2.3,1.93,kcal/mol,DGS,25,,measured,,12 10,-1.82,kcal/mol,,,,,,
ICI,diiodomethane,267.83,,"[Chambers, 1996 #1018]",Table S2,,-2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CSSC,dimethyl disulfide,94.2,,"[Chambers, 1996 #1018]",Table S2,,-1.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CSC,dimethyl sulfide,62.14,,"[Chambers, 1996 #1018]",Table S2,,-1.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CNC,dimethylamine,45.08,,"[Chambers, 1996 #1018]",Table S2,,-4.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
S(CCC)CCC,dipropyl sulfide,118.24,,"[Chambers, 1996 #1018]",Table S2,,-1.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(CCC)CCC,dipropylamine,101.19,,"[Chambers, 1996 #1018]",Table S2,,-3.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CC,ethane ,30.07,,"[Chambers, 1996 #1018]",Table S2,,1.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
SCC,ethanethiol,62.14,,"[Chambers, 1996 #1018]",Table S2,,-1.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OCC,ethanol,46.07,,"[Chambers, 1996 #1018]",Table S2,,-5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C=C,ethene,28.05,,"[Chambers, 1996 #1018]",Table S2,,1.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)C)CC,ethyl acetate,88.11,,"[Chambers, 1996 #1018]",Table S2,,-3.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(CC)C=O,ethyl formate,74.08,,"[Chambers, 1996 #1018]",Table S2,,-2.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NCC,ethylamine,45.08,,"[Chambers, 1996 #1018]",Table S2,,-4.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c1ccccc1CC,ethylbenzene,106.17,,"[Chambers, 1996 #1018]",Table S2,,-0.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C#C,ethyne,26.04,,"[Chambers, 1996 #1018]",Table S2,,0,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Fc1ccccc1,fluorobenzene,96.1,,"[Chambers, 1996 #1018]",Table S2,,-0.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
FC,fluoromethane,34.03,,"[Chambers, 1996 #1018]",Table S2,,-0.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCCCCCC,heptane,100.205,,"[Chambers, 1996 #1018]",Table S2,,2.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCCCCC,hexane,86.18,,"[Chambers, 1996 #1018]",Table S2,,2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(=O)CCCCC,hexanoic acid,116.16,,"[Chambers, 1996 #1018]",Table S2,,-6.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NN,hydrazine,32.048,,"[Chambers, 1996 #1018]",Table S2,,-9.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
S,hydrogen sulfide,34.08,,"[Chambers, 1996 #1018]",Table S2,,-0.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
IC(Br)CCl,I-bromo-2-chloroethane,269.329,,"[Chambers, 1996 #1018]",Table S2,,-2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
IC(Br)CCCC,I-bromopentane,276.961,,"[Chambers, 1996 #1018]",Table S2,,-0.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Ic1ccccc1,iodobenzene,204.016,,"[Chambers, 1996 #1018]",Table S2,,-1.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ICC,iodoethane,155.97,,"[Chambers, 1996 #1018]",Table S2,,-0.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
IC,iodomethane,141.94,,"[Chambers, 1996 #1018]",Table S2,,-0.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C,methane ,16.04,,"[Chambers, 1996 #1018]",Table S2,,2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
SC,methanethiol,48.11,,"[Chambers, 1996 #1018]",Table S2,,-1.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC,methanol,32.04,,"[Chambers, 1996 #1018]",Table S2,,-5.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COC,methoxymethane,46.07,,"[Chambers, 1996 #1018]",Table S2,,-1.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)C)C,methyl acetate,74.08,,"[Chambers, 1996 #1018]",Table S2,,-3.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)CCC)C,Methyl butanoate,102.13,,"[Chambers, 1996 #1018]",Table S2,,-2.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C=O)C,methyl formate,60.05,,"[Chambers, 1996 #1018]",Table S2,,-2.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,1.93
O(C(=O)CCCCC)C,methyl hexanoate,130.19,,"[Chambers, 1996 #1018]",Table S2,,-2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCC)C,methyl octanoate,158.24,,"[Chambers, 1996 #1018]",Table S2,,-2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
COC(=O)CCCC,methyl pentanoate,116.16,,"[Chambers, 1996 #1018]",Table S2,,-2.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)CC)C,Methyl propanoate,88.11,,"[Chambers, 1996 #1018]",Table S2,,-2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NC,methylamine,31.06,,"[Chambers, 1996 #1018]",Table S2,,-4.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C1CCCCC1C,methylcyclohexane,98.19,,"[Chambers, 1996 #1018]",Table S2,,1.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O1CCNCC1,morpholine,87.12,,"[Chambers, 1996 #1018]",Table S2,,-7.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c12c(cccc1)cccc2,naphthalene,128.17,,"[Chambers, 1996 #1018]",Table S2,,-2.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=[N+]([O-])c1ccccc1,nitrobenzene,123.11,,"[Chambers, 1996 #1018]",Table S2,,-4.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)CC,nitroethane,75.07,,"[Chambers, 1996 #1018]",Table S2,,-3.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=CCCCCCCC,octanal,128.22,,"[Chambers, 1996 #1018]",Table S2,,-2.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCCCCCCC,octane ,114.232,,"[Chambers, 1996 #1018]",Table S2,,2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=CCCCC,pentanal,86.13,,"[Chambers, 1996 #1018]",Table S2,,-3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCCCC,pentane,72.15,,"[Chambers, 1996 #1018]",Table S2,,2.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(=O)CCCC,pentanoic acid,102.13,,"[Chambers, 1996 #1018]",Table S2,,-6.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C(=O)(C)OCCCCC,pentyl acetate,130.19,,"[Chambers, 1996 #1018]",Table S2,,-2.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NCCCCC,pentylamine,87.17,,"[Chambers, 1996 #1018]",Table S2,,-4.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
Oc1ccccc1,phenol,94.11,,"[Chambers, 1996 #1018]",Table S2,,-6.6,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N1CCNCC1,piperazine,86.14,,"[Chambers, 1996 #1018]",Table S2,,-7.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N1CCCCC1,piperidine,85.15,,"[Chambers, 1996 #1018]",Table S2,,-5.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O=CCC,propanal,58.08,,"[Chambers, 1996 #1018]",Table S2,,-3.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
CCC,propane,44.1,,"[Chambers, 1996 #1018]",Table S2,,2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N#CCC,propanenitrile,55.08,,"[Chambers, 1996 #1018]",Table S2,,-3.8,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
OC(=O)CC,propanoic acid,74.08,,"[Chambers, 1996 #1018]",Table S2,,-6.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C=CC,Propene,42.08,,"[Chambers, 1996 #1018]",Table S2,,1.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O(C(=O)C)CCC,propyl acetate,102.13,,"[Chambers, 1996 #1018]",Table S2,,-2.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
NCCC,propylamine,59.11,,"[Chambers, 1996 #1018]",Table S2,,-4.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
C#CC,propyne,40.06,,"[Chambers, 1996 #1018]",Table S2,,-0.3,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
n1ccccc1,pyridine,79.1,,"[Chambers, 1996 #1018]",Table S2,,-4.7,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N1CCCC1,pyrrolidine,71.12,,"[Chambers, 1996 #1018]",Table S2,,-5.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC(Cl)=C(Cl)Cl,tetrachloroethene,165.83,,"[Chambers, 1996 #1018]",Table S2,,0.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
FC(F)(F)F,tetrafluoromethane,88,,"[Chambers, 1996 #1018]",Table S2,,3.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
O1CCCC1,tetrahydrofuran,72.11,,"[Chambers, 1996 #1018]",Table S2,,-3.5,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
c1ccccc1C,toluene,92.14,,"[Chambers, 1996 #1018]",Table S2,,-0.9,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
BrC(Br)Br,tribromomethane,252.73,,"[Chambers, 1996 #1018]",Table S2,,-2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC(Cl)=CCl,trichloroethene,131.39,,"[Chambers, 1996 #1018]",Table S2,,-0.4,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
ClC(Cl)Cl,trichloromethane,119.38,,"[Chambers, 1996 #1018]",Table S2,,-1.1,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
N(C)(C)C,trimethylamine,59.11,,"[Chambers, 1996 #1018]",Table S2,,-3.2,1.93,kcal/mol,DGS,25,,cited,,,,,,,,,,
